Table 1,,,
Geographic Area,"Population, 2020","Population, 2021","Population, 2022"
"Orange County, North Carolina","143,583","148,610","150,477"
"Park County, Wyoming","29,664","30,142","30,518"
"Kalkaska County, Michigan","17,916","17,958","18,182"
"Gaston County, North Carolina","228,514","231,337","234,215"
"Stephens County, Oklahoma","42,814","43,174","43,710"
"Hawaii County, Hawaii","200,712","203,792","206,315"
"Kalawao County, Hawaii",80,81,82
"King George County, Virginia","26,822","27,522","27,856"
"Real County, Texas","2,743","2,806","2,840"
"Washington County, Minnesota","268,372","272,610","275,912"
"Clark County, Nevada","2,274,734","2,295,194","2,322,985"
"Robertson County, Texas","16,771","16,948","17,153"
"Hamblen County, Tennessee","64,537","64,390","65,168"
"Madison County, Texas","13,464","13,498","13,661"
"Placer County, California","405,889","412,789","417,772"
"Lake County, Oregon","8,167","8,285","8,385"
"Gordon County, Georgia","57,716","58,253","58,954"
"Jessamine County, Kentucky","53,016","53,609","54,254"
"Lafayette Parish, Louisiana","242,148","244,922","247,866"
"Warren County, Ohio","243,201","246,822","249,778"
"Warren County, Tennessee","41,054","41,529","42,026"
"Stokes County, North Carolina","44,565","44,641","45,175"
"Chippewa County, Michigan","36,781","35,867","36,293"
"Delaware County, Oklahoma","40,385","40,927","41,413"
"Otoe County, Nebraska","15,897","16,008","16,198"
"Radford city, Virginia","16,119","16,542","16,738"
"McLennan County, Texas","261,177","263,714","266,836"
"Lanier County, Georgia","9,926","10,052","10,171"
"Tarrant County, Texas","2,115,682","2,129,402","2,154,595"
"Simpson County, Kentucky","19,626","19,716","19,949"
"Shelby County, Alabama","223,881","227,428","230,115"
"Warren County, Virginia","40,786","40,957","41,440"
"Charleston County, South Carolina","409,716","414,403","419,279"
"Millard County, Utah","13,049","13,175","13,330"
"St Tammany Parish, Louisiana","264,986","270,087","273,263"
"Lincoln County, Georgia","7,701","7,750","7,841"
"Garrard County, Kentucky","16,965","17,385","17,589"
"Coffee County, Alabama","53,547","54,171","54,805"
"Ada County, Idaho","498,260","512,914","518,907"
"Cullman County, Alabama","88,131","89,618","90,665"
"McIntosh County, Georgia","10,987","11,051","11,180"
"Greer County, Oklahoma","5,493","5,483","5,547"
"Erath County, Texas","42,716","43,389","43,895"
"Nez Perce County, Idaho","42,141","42,509","43,004"
"Clark County, South Dakota","3,855","3,867","3,912"
"Bent County, Colorado","5,478","5,337","5,399"
"Douglas County, Georgia","144,552","145,628","147,316"
"Union County, South Dakota","16,853","16,868","17,063"
"Otsego County, Michigan","25,138","25,351","25,644"
"Dane County, Wisconsin","562,577","561,724","568,203"
"Stone County, Arkansas","12,350","12,432","12,575"
"Georgetown County, South Carolina","63,506","63,991","64,722"
"Fulton County, Georgia","1,069,370","1,062,531","1,074,634"
"Kerr County, Texas","52,691","53,136","53,741"
"Tangipahoa Parish, Louisiana","133,635","135,508","137,048"
"Greene County, Tennessee","70,333","70,603","71,405"
"Alcona County, Michigan","10,189","10,300","10,417"
"Glascock County, Georgia","2,894","2,906","2,939"
"Aitkin County, Minnesota","15,718","15,945","16,126"
"Minidoka County, Idaho","21,666","21,945","22,194"
"Bonneville County, Idaho","124,716","128,045","129,496"
"Clark County, Indiana","121,353","122,847","124,237"
"Campbell County, Wyoming","47,139","46,533","47,058"
"Marshall County, Alabama","97,696","98,316","99,423"
"Caribou County, Idaho","7,012","7,110","7,190"
"Cumberland County, Pennsylvania","260,223","265,593","268,579"
"Johnson County, Wyoming","8,467","8,633","8,730"
"Peach County, Georgia","28,040","28,245","28,562"
"Gregg County, Texas","124,241","124,052","125,443"
"Kittitas County, Washington","44,626","44,688","45,189"
"Larimer County, Colorado","359,899","362,713","366,778"
"Fayette County, Georgia","119,483","120,681","122,030"
"Weber County, Utah","262,973","266,588","269,561"
"Fannin County, Texas","35,798","36,716","37,125"
"Stafford County, Virginia","157,746","161,584","163,380"
"Carver County, Minnesota","107,284","108,826","110,034"
"Culpeper County, Virginia","52,766","53,785","54,381"
"St Clair County, Alabama","91,652","92,903","93,932"
"New York County, New York","1,677,306","1,578,801","1,596,273"
"Lincoln County, Nevada","4,448","4,433","4,482"
"Rowan County, North Carolina","147,148","148,012","149,645"
"Frederick County, Virginia","91,865","94,014","95,051"
"Cherokee County, Alabama","24,972","25,026","25,302"
"Henderson County, Texas","82,394","83,590","84,511"
"Craighead County, Arkansas","111,603","111,788","113,017"
"Murray County, Georgia","40,012","40,032","40,472"
"Clearwater County, Idaho","8,752","8,917","9,015"
"Rockingham County, Virginia","83,765","84,470","85,397"
"Valencia County, New Mexico","76,369","77,233","78,080"
"Martin County, Florida","158,658","160,249","162,006"
"Bourbon County, Kansas","14,333","14,336","14,493"
"Bosque County, Texas","18,245","18,495","18,697"
"Davie County, North Carolina","42,895","43,614","44,090"
"Rockdale County, Georgia","93,644","93,961","94,984"
"Madison County, Mississippi","109,251","109,919","111,113"
"Cherokee County, North Carolina","28,858","29,195","29,512"
"Lawrence County, Missouri","37,977","38,268","38,683"
"Bacon County, Georgia","11,108","11,071","11,191"
"Oconee County, South Carolina","78,778","79,322","80,180"
"Chowan County, North Carolina","13,701","13,791","13,940"
"Lyon County, Nevada","59,466","60,927","61,585"
"Crawford County, Arkansas","60,147","60,423","61,075"
"Oregon County, Missouri","8,611","8,639","8,732"
"Grand County, Utah","9,677","9,665","9,769"
"Alleghany County, North Carolina","10,897","11,066","11,185"
"Woodson County, Kansas","3,091","3,076","3,109"
"Lauderdale County, Alabama","94,025","94,862","95,878"
"Galax city, Virginia","6,714","6,659","6,730"
"Fairfield County, Ohio","159,443","161,182","162,898"
"Dickson County, Tennessee","54,442","55,174","55,761"
"Richland County, South Carolina","415,645","417,132","421,566"
"Leelanau County, Michigan","22,312","22,630","22,870"
"Gwinnett County, Georgia","958,005","965,145","975,353"
"Powder River County, Montana","1,693","1,707","1,725"
"Fredericksburg city, Virginia","27,995","28,458","28,757"
"Davidson County, North Carolina","169,196","170,794","172,586"
"Benton County, Washington","207,413","210,585","212,791"
"Pickens County, South Carolina","131,669","132,079","133,462"
"Boone County, Arkansas","37,383","37,890","38,284"
"Sullivan County, Tennessee","158,237","159,167","160,820"
"Hoke County, North Carolina","52,240","53,235","53,787"
"Hamilton County, Florida","13,733","13,082","13,217"
"Luna County, New Mexico","25,447","25,486","25,749"
"Carbon County, Utah","20,488","20,361","20,571"
"Missoula County, Montana","118,337","119,806","121,041"
"Benton County, Tennessee","15,850","15,839","16,002"
"Troup County, Georgia","69,323","69,479","70,191"
"Vilas County, Wisconsin","23,097","23,522","23,763"
"Jackson County, North Carolina","42,231","42,520","42,955"
"Nowata County, Oklahoma","9,322","9,387","9,483"
"Park County, Colorado","17,419","17,758","17,939"
"Powhatan County, Virginia","30,438","31,172","31,489"
"Knox County, Ohio","62,783","62,547","63,183"
"Palm Beach County, Florida","1,494,173","1,503,223","1,518,477"
"Catawba County, North Carolina","160,892","161,821","163,462"
"St Croix County, Wisconsin","93,874","95,055","96,017"
"Beadle County, South Dakota","19,165","19,182","19,376"
"Gray County, Kansas","5,646","5,672","5,729"
"Lake County, South Dakota","11,008","10,863","10,972"
"Hancock County, Tennessee","6,625","6,777","6,845"
"Hardeman County, Tennessee","25,432","25,276","25,529"
"Hanover County, Virginia","110,195","111,821","112,938"
"Pondera County, Montana","5,879","6,018","6,078"
"Wilson County, Kansas","8,576","8,537","8,622"
"Tipton County, Tennessee","61,041","61,049","61,656"
"Wasatch County, Utah","35,063","36,260","36,619"
"Broomfield County, Colorado","74,484","75,375","76,121"
"Fayette County, Texas","24,471","24,669","24,913"
"Pike County, Pennsylvania","58,560","59,965","60,558"
"Hubbard County, Minnesota","21,392","21,745","21,960"
"Gilmer County, Georgia","31,428","32,090","32,407"
"Dickinson County, Iowa","17,766","17,852","18,028"
"McIntosh County, Oklahoma","18,950","19,262","19,451"
"Lincoln County, Oklahoma","33,495","33,856","34,188"
"Cherokee County, Oklahoma","47,090","47,631","48,098"
"Bartholomew County, Indiana","82,216","82,730","83,540"
"Staunton city, Virginia","25,811","25,653","25,904"
"Lyon County, Iowa","11,927","12,061","12,179"
"Henry County, Missouri","21,974","22,221","22,438"
"San Luis Obispo County, California","281,879","279,298","282,013"
"Camp County, Texas","12,427","12,594","12,716"
"Boone County, Kentucky","136,465","137,760","139,093"
"Wood County, Ohio","132,248","130,331","131,592"
"Pierce County, Georgia","19,746","19,975","20,168"
"Newton County, Missouri","58,684","59,437","60,011"
"Harris County, Texas","4,734,505","4,735,287","4,780,913"
"Carteret County, North Carolina","67,724","68,718","69,380"
"Montezuma County, Colorado","25,883","26,216","26,468"
"McCook County, South Dakota","5,673","5,723","5,778"
"Floyd County, Georgia","98,575","98,499","99,443"
"Cleburne County, Arkansas","24,696","25,044","25,284"
"Grand Isle County, Vermont","7,276","7,418","7,489"
"Navajo County, Arizona","106,762","107,621","108,650"
"Henderson County, North Carolina","116,541","116,988","118,106"
"Marion County, Kansas","11,778","11,756","11,868"
"Taylor County, Kentucky","26,000","26,158","26,407"
"Hayes County, Nebraska",853,841,849
"Ringgold County, Iowa","4,642","4,626","4,670"
"Lubbock County, Texas","311,564","314,597","317,561"
"Cherokee County, Texas","50,488","51,163","51,645"
"Lewis County, Washington","82,556","84,575","85,370"
"Waynesboro city, Virginia","22,276","22,596","22,808"
"Callahan County, Texas","13,744","14,078","14,210"
"Cheyenne County, Colorado","1,744","1,716","1,732"
"Elmore County, Alabama","87,853","88,737","89,563"
"Pulaski County, Indiana","12,523","12,370","12,485"
"Worcester County, Maryland","52,511","53,370","53,866"
"Autauga County, Alabama","58,902","59,210","59,759"
"Stark County, Illinois","5,391","5,296","5,345"
"Larue County, Kentucky","14,877","15,024","15,163"
"Gloucester County, Virginia","38,718","39,131","39,493"
"Merrimack County, New Hampshire","154,022","154,591","156,020"
"Douglas County, Minnesota","39,089","39,305","39,668"
"Ocean County, New Jersey","638,422","649,741","655,735"
"Carroll County, Arkansas","28,242","28,480","28,742"
"Okeechobee County, Florida","39,642","40,044","40,412"
"Edmunds County, South Dakota","3,982","4,028","4,065"
"Chester County, Pennsylvania","534,783","540,864","545,823"
"Cumberland County, Kentucky","5,860","5,892","5,946"
"Carroll County, New Hampshire","50,235","51,725","52,199"
"Cape Girardeau County, Missouri","81,811","82,147","82,899"
"Trigg County, Kentucky","14,080","14,202","14,332"
"Bullitt County, Kentucky","82,355","83,076","83,836"
"Sherman County, Nebraska","2,956","2,953","2,980"
"Todd County, Minnesota","25,277","25,307","25,538"
"Oscoda County, Michigan","8,239","8,328","8,404"
"Putnam County, Florida","73,376","74,059","74,731"
"Johnson County, Iowa","153,042","155,016","156,420"
"Fallon County, Montana","3,028","2,984","3,011"
"Durham County, North Carolina","325,561","329,699","332,680"
"Okanogan County, Washington","42,146","42,741","43,127"
"Washburn County, Wisconsin","16,613","16,760","16,911"
"Gonzales County, Texas","19,679","19,655","19,832"
"Ogemaw County, Michigan","20,779","20,783","20,970"
"Coconino County, Arizona","145,180","142,780","144,060"
"Crow Wing County, Minnesota","66,277","67,345","67,948"
"Codington County, South Dakota","28,350","28,467","28,721"
"Torrance County, New Mexico","15,054","15,318","15,454"
"Claiborne County, Tennessee","32,066","32,146","32,431"
"Amelia County, Virginia","13,268","13,337","13,455"
"Price County, Wisconsin","14,032","14,055","14,179"
"Hidalgo County, Texas","872,806","880,633","888,367"
"Clearwater County, Minnesota","8,571","8,574","8,649"
"Rappahannock County, Virginia","7,321","7,437","7,502"
"Mayes County, Oklahoma","39,053","39,246","39,589"
"Wilkes County, Georgia","9,556","9,516","9,599"
"Polk County, Georgia","42,923","43,332","43,709"
"Warrick County, Indiana","63,996","64,623","65,185"
"Washington County, Maine","31,087","31,166","31,437"
"Morgan County, West Virginia","17,087","17,280","17,430"
"Boone County, Missouri","184,035","186,075","187,690"
"Fauquier County, Virginia","72,990","74,022","74,664"
"Grant County, Washington","99,427","100,440","101,311"
"Wadena County, Minnesota","14,119","14,184","14,307"
"Taney County, Missouri","56,057","56,334","56,821"
"Izard County, Arkansas","13,597","13,928","14,048"
"Marshall County, Mississippi","33,778","33,820","34,110"
"Ottawa County, Michigan","296,889","298,317","300,873"
"Loudoun County, Virginia","422,669","428,435","432,085"
"Dougherty County, Georgia","85,153","82,267","82,966"
"Sharp County, Arkansas","17,319","17,660","17,810"
"Taylor County, Texas","143,444","143,942","145,163"
"Madera County, California","156,343","158,910","160,256"
"Riverside County, California","2,422,847","2,453,178","2,473,902"
"Aurora County, South Dakota","2,733","2,732","2,755"
"Morgan County, Colorado","29,072","28,995","29,239"
"Freestone County, Texas","19,445","19,784","19,950"
"Pike County, Alabama","32,906","32,740","33,014"
"DeKalb County, Indiana","43,297","43,369","43,731"
"De Baca County, New Mexico","1,683","1,679","1,693"
"Boyle County, Kentucky","30,753","30,649","30,904"
"Pima County, Arizona","1,045,175","1,048,895","1,057,597"
"Johnson County, Indiana","162,224","164,418","165,782"
"Karnes County, Texas","14,763","14,714","14,836"
"Washington County, Nebraska","20,928","20,993","21,167"
"Newaygo County, Michigan","50,095","50,468","50,886"
"Jefferson County, Oregon","24,577","25,122","25,330"
"Clay County, South Dakota","14,996","15,155","15,280"
"West Baton Rouge Parish, Louisiana","27,258","27,805","28,034"
"Overton County, Tennessee","22,592","22,856","23,044"
"Clark County, Washington","505,301","512,588","516,779"
"Beltrami County, Minnesota","46,243","46,420","46,799"
"Towns County, Georgia","12,545","12,867","12,972"
"Waushara County, Wisconsin","24,549","24,797","24,999"
"Cecil County, Maryland","103,793","104,096","104,942"
"Le Sueur County, Minnesota","28,639","28,918","29,153"
"Ouray County, Colorado","4,881","5,059","5,100"
"Phelps County, Missouri","44,560","44,949","45,313"
"Day County, South Dakota","5,442","5,435","5,479"
"LaGrange County, Indiana","40,530","40,538","40,866"
"Douglas County, Washington","43,031","43,838","44,192"
"Granville County, North Carolina","61,060","61,408","61,903"
"St Charles County, Missouri","406,385","410,511","413,803"
"Lewis County, Tennessee","12,602","12,854","12,957"
"Eau Claire County, Wisconsin","105,874","105,988","106,837"
"Cook County, Georgia","17,234","17,266","17,404"
"Chesterfield County, South Carolina","43,250","43,337","43,683"
"Cheboygan County, Michigan","25,584","25,735","25,940"
"Stearns County, Minnesota","158,467","159,144","160,405"
"Ripley County, Missouri","10,670","10,619","10,703"
"Grant County, Kentucky","25,014","25,302","25,502"
"Duplin County, North Carolina","48,657","48,606","48,990"
"Converse County, Wyoming","13,741","13,678","13,786"
"Dade County, Missouri","7,587","7,600","7,660"
"Grundy County, Missouri","9,761","9,761","9,838"
"Richmond city, Virginia","227,008","227,602","229,395"
"Miami County, Ohio","108,950","109,386","110,247"
"Colorado County, Texas","20,558","20,592","20,754"
"Fremont County, Colorado","48,878","49,234","49,621"
"Alachua County, Florida","279,742","281,817","284,030"
"Payne County, Oklahoma","81,645","82,149","82,794"
"Jefferson County, West Virginia","57,783","58,520","58,979"
"Gladwin County, Michigan","25,375","25,528","25,728"
"La Crosse County, Wisconsin","120,930","119,367","120,294"
"Yuma County, Arizona","204,528","206,241","207,842"
"Licking County, Ohio","178,769","179,962","181,359"
"White County, Arkansas","76,851","77,157","77,755"
"York County, Maine","212,256","215,066","216,732"
"Forsyth County, North Carolina","383,166","386,172","389,157"
"Bradley County, Tennessee","108,820","109,769","110,616"
"Chisago County, Minnesota","56,713","57,544","57,988"
"Coryell County, Texas","83,146","84,406","85,057"
"Putnam County, Indiana","36,679","37,016","37,301"
"Hamilton County, Illinois","7,997","7,923","7,984"
"Spokane County, Washington","541,125","545,498","549,690"
"Union County, Pennsylvania","42,639","42,419","42,744"
"Newberry County, South Carolina","37,731","37,957","38,247"
"Rockingham County, North Carolina","91,188","91,260","91,957"
"Mesa County, Colorado","156,005","157,434","158,636"
"Monroe County, Kentucky","11,316","11,269","11,355"
"Adams County, Colorado","520,479","523,592","527,575"
"Doña Ana County, New Mexico","220,047","221,655","223,337"
"Sullivan County, New Hampshire","43,069","43,627","43,958"
"Harding County, South Dakota","1,307","1,320","1,330"
"Somerset County, Maine","50,460","50,715","51,098"
"Wexford County, Michigan","33,685","33,940","34,196"
"Anderson County, Kentucky","23,870","24,043","24,224"
"King and Queen County, Virginia","6,588","6,668","6,718"
"Gila County, Arizona","53,351","53,521","53,922"
"Franklin County, Indiana","22,793","22,857","23,028"
"Mitchell County, North Carolina","14,906","14,982","15,094"
"La Plata County, Colorado","55,675","56,187","56,607"
"Orange County, Vermont","29,299","29,625","29,846"
"Walker County, Georgia","67,742","68,405","68,915"
"Calaveras County, California","45,346","46,219","46,563"
"York County, Nebraska","14,103","14,248","14,354"
"Chester County, Tennessee","17,377","17,479","17,609"
"Perry County, Arkansas","10,000","9,989","10,063"
"Hardin County, Tennessee","26,805","26,878","27,077"
"Essex County, Virginia","10,595","10,552","10,630"
"Dallam County, Texas","7,126","7,188","7,241"
"Pitt County, North Carolina","170,378","172,273","173,542"
"Harrison County, Kentucky","18,718","18,964","19,103"
"Burt County, Nebraska","6,721","6,706","6,755"
"Charles County, Maryland","166,726","168,870","170,102"
"Washington County, Oklahoma","52,604","52,857","53,242"
"Hamilton County, Texas","8,247","8,238","8,298"
"Bon Homme County, South Dakota","6,973","7,011","7,062"
"Washington County, Texas","35,805","35,898","36,159"
"Scott County, Minnesota","151,350","153,408","154,520"
"Blount County, Alabama","59,102","59,085","59,512"
"Greene County, Missouri","299,312","301,118","303,293"
"Harrison County, Texas","68,798","69,454","69,955"
"Grafton County, New Hampshire","91,177","90,474","91,126"
"Clare County, Michigan","30,834","31,128","31,352"
"Colbert County, Alabama","57,299","57,619","58,033"
"Boyd County, Kentucky","48,197","47,767","48,110"
"Wabaunsee County, Kansas","6,885","6,969","7,019"
"Gillespie County, Texas","26,742","27,282","27,477"
"Madison County, Florida","17,866","18,069","18,198"
"Creek County, Oklahoma","71,837","72,186","72,699"
"Nicholas County, Kentucky","7,540","7,750","7,805"
"Floyd County, Virginia","15,469","15,509","15,619"
"Chautauqua County, Kansas","3,385","3,391","3,415"
"Johnson County, Kansas","611,101","614,848","619,195"
"Tift County, Georgia","41,374","41,123","41,412"
"La Paz County, Arizona","16,575","16,391","16,506"
"Walker County, Texas","76,544","78,322","78,870"
"Bedford County, Virginia","79,553","80,287","80,848"
"Delta County, Colorado","31,051","31,383","31,602"
"Albemarle County, Virginia","112,502","113,742","114,534"
"Carlton County, Minnesota","36,193","36,455","36,708"
"Lowndes County, Georgia","118,415","118,914","119,739"
"Tyler County, Texas","19,811","19,892","20,030"
"Leavenworth County, Kansas","81,953","82,322","82,892"
"Rabun County, Georgia","16,914","17,088","17,206"
"Sevier County, Utah","21,561","21,918","22,069"
"Cheshire County, New Hampshire","76,541","76,821","77,350"
"Buncombe County, North Carolina","269,694","271,719","273,589"
"Mecklenburg County, Virginia","30,278","30,300","30,508"
"Cobb County, Georgia","766,374","766,691","771,952"
"Polk County, Iowa","492,997","497,675","501,089"
"McDonald County, Missouri","23,286","23,428","23,588"
"Cheatham County, Tennessee","41,128","41,547","41,830"
"Davis County, Utah","363,745","367,446","369,948"
"Barbour County, Alabama","24,960","24,539","24,706"
"Davidson County, Tennessee","716,058","703,372","708,144"
"Linn County, Kansas","9,586","9,730","9,796"
"Columbia County, Oregon","52,730","53,229","53,588"
"Todd County, Kentucky","12,289","12,321","12,404"
"Churchill County, Nevada","25,568","25,671","25,843"
"Madison County, Tennessee","98,833","98,585","99,245"
"Lorain County, Ohio","313,495","314,165","316,268"
"Wabasha County, Minnesota","21,400","21,514","21,658"
"Harrison County, Mississippi","208,811","209,642","211,044"
"Salem city, Virginia","25,399","25,354","25,523"
"Merrick County, Nebraska","7,655","7,670","7,721"
"Garfield County, Montana","1,170","1,210","1,218"
"Menifee County, Kentucky","6,135","6,209","6,250"
"Franklin County, Maine","29,460","30,275","30,474"
"Fountain County, Indiana","16,483","16,466","16,574"
"Morgan County, Alabama","123,288","123,403","124,211"
"Armstrong County, Texas","1,849","1,838","1,850"
"Amador County, California","40,532","41,144","41,412"
"Gloucester County, New Jersey","302,554","304,620","306,601"
"Madison County, Missouri","12,626","12,671","12,753"
"San Joaquin County, California","780,558","788,140","793,229"
"Conway County, Arkansas","20,729","20,911","21,046"
"Dodge County, Georgia","19,874","19,675","19,802"
"Randolph County, North Carolina","144,418","145,109","146,043"
"Waldo County, Maine","39,654","39,984","40,241"
"Wells County, North Dakota","3,971","3,905","3,930"
"Perquimans County, North Carolina","13,016","13,126","13,210"
"Scott County, Tennessee","21,878","21,895","22,035"
"Lincoln County, Maine","35,249","35,985","36,215"
"Jones County, Texas","19,678","19,809","19,935"
"Clay County, Tennessee","7,588","7,572","7,620"
"Tate County, Mississippi","28,117","28,118","28,296"
"Wirt County, West Virginia","5,186","5,059","5,091"
"Amherst County, Virginia","31,309","31,391","31,589"
"Shelby County, Kentucky","48,243","48,580","48,886"
"Carroll County, Maryland","172,923","174,208","175,305"
"Le Flore County, Oklahoma","48,195","48,601","48,907"
"Meriwether County, Georgia","20,606","20,715","20,845"
"Roberts County, Texas",822,798,803
"Kosciusko County, Indiana","80,155","80,323","80,826"
"Baxter County, Arkansas","41,687","42,171","42,435"
"Carter County, Tennessee","56,362","56,060","56,410"
"Richmond County, Georgia","206,526","205,358","206,640"
"Saluda County, South Carolina","18,830","18,821","18,938"
"Harmon County, Oklahoma","2,473","2,413","2,428"
"Scott County, Indiana","24,371","24,437","24,588"
"Eastland County, Texas","17,775","17,834","17,944"
"Panola County, Texas","22,492","22,538","22,677"
"Guilford County, North Carolina","539,498","542,756","546,101"
"Morris County, Texas","11,972","12,009","12,083"
"Phelps County, Nebraska","8,972","8,933","8,988"
"Mills County, Iowa","14,399","14,464","14,553"
"Jefferson County, Missouri","226,927","227,934","229,336"
"Seward County, Nebraska","17,614","17,584","17,692"
"Lonoke County, Arkansas","74,046","74,766","75,225"
"Tippecanoe County, Indiana","186,369","187,566","188,717"
"Franklin County, Arkansas","17,135","17,166","17,271"
"King County, Washington","2,274,094","2,253,038","2,266,789"
"Jerauld County, South Dakota","1,648","1,640","1,650"
"Oconto County, Wisconsin","39,080","39,393","39,633"
"Jasper County, Missouri","122,878","123,325","124,075"
"Barry County, Michigan","62,598","63,170","63,554"
"Brown County, Texas","38,048","38,142","38,373"
"Carroll County, Tennessee","28,421","28,287","28,458"
"Coke County, Texas","3,295","3,313","3,333"
"Pottawatomie County, Oklahoma","72,542","73,092","73,533"
"Storey County, Nevada","4,106","4,145","4,170"
"Lincoln County, Colorado","5,665","5,477","5,510"
"Adair County, Kentucky","18,880","18,953","19,067"
"Allen County, Indiana","386,082","389,112","391,449"
"Cooper County, Missouri","16,648","16,672","16,772"
"Daviess County, Missouri","8,425","8,385","8,435"
"Craven County, North Carolina","100,646","100,277","100,874"
"Gibson County, Tennessee","50,436","50,537","50,837"
"Buffalo County, Wisconsin","13,319","13,312","13,391"
"Catoosa County, Georgia","68,006","68,420","68,826"
"Arenac County, Michigan","15,003","15,000","15,089"
"Lamar County, Mississippi","64,384","65,395","65,783"
"Pacific County, Washington","23,491","23,971","24,113"
"Marion County, Iowa","33,408","33,444","33,642"
"Franklin County, Vermont","50,040","50,433","50,731"
"Sabine County, Texas","9,888","9,989","10,048"
"Hart County, Kentucky","19,289","19,485","19,600"
"Nash County, North Carolina","95,148","95,227","95,789"
"Weakley County, Tennessee","32,899","32,870","33,063"
"Cass County, Missouri","108,145","109,751","110,394"
"Madison County, Indiana","130,195","130,979","131,744"
"Greene County, Indiana","30,804","30,826","31,006"
"Broward County, Florida","1,943,266","1,935,729","1,947,026"
"Morgan County, Tennessee","21,038","21,101","21,224"
"Miami County, Kansas","34,232","34,665","34,867"
"Houston County, Alabama","107,286","107,453","108,079"
"Quitman County, Georgia","2,228","2,236","2,249"
"Deschutes County, Oregon","199,454","205,358","206,549"
"Iosco County, Michigan","25,185","25,374","25,521"
"Dinwiddie County, Virginia","27,888","27,999","28,161"
"Limestone County, Texas","22,139","22,125","22,253"
"Bates County, Missouri","16,045","16,084","16,177"
"Marion County, Tennessee","28,865","28,927","29,094"
"Guthrie County, Iowa","10,613","10,586","10,647"
"Kennebec County, Maine","123,832","124,824","125,540"
"Pike County, Arkansas","10,172","10,121","10,179"
"Wayne County, Kentucky","19,542","19,569","19,681"
"Barren County, Kentucky","44,502","44,599","44,854"
"Cedar County, Missouri","14,210","14,518","14,601"
"Sequoyah County, Oklahoma","39,246","39,442","39,667"
"Phillips County, Montana","4,208","4,216","4,240"
"Penobscot County, Maine","152,165","152,834","153,704"
"Madison County, North Carolina","21,228","21,645","21,768"
"Rockcastle County, Kentucky","16,064","16,151","16,242"
"Strafford County, New Hampshire","131,055","131,534","132,275"
"Franklin County, Washington","97,143","98,126","98,678"
"Barber County, Kansas","4,203","4,099","4,122"
"Wells County, Indiana","28,167","28,177","28,335"
"Montgomery County, Indiana","37,942","38,061","38,273"
"Powell County, Montana","6,941","7,012","7,051"
"Barry County, Missouri","34,541","34,733","34,926"
"Moody County, South Dakota","6,343","6,314","6,349"
"Ellsworth County, Kansas","6,369","6,320","6,355"
"Camden County, Missouri","42,802","43,527","43,768"
"Cedar County, Nebraska","8,372","8,325","8,371"
"Yadkin County, North Carolina","37,246","37,258","37,463"
"Trempealeau County, Wisconsin","30,806","30,730","30,899"
"Lincoln County, Kentucky","24,249","24,227","24,360"
"Buffalo County, Nebraska","50,195","50,310","50,586"
"Person County, North Carolina","39,187","39,172","39,386"
"Sagadahoc County, Maine","36,724","37,190","37,393"
"Bremer County, Iowa","25,003","25,122","25,259"
"Prairie County, Montana","1,093","1,101","1,107"
"Butte County, California","210,135","206,190","207,303"
"Independence County, Arkansas","37,936","37,742","37,945"
"Malheur County, Oregon","31,650","31,709","31,879"
"Comanche County, Texas","13,628","13,804","13,878"
"Clarke County, Georgia","128,550","129,185","129,875"
"Rutherford County, North Carolina","64,479","64,618","64,963"
"Hancock County, Maine","55,500","56,403","56,701"
"Uvalde County, Texas","24,559","24,810","24,940"
"Franklin County, Missouri","104,853","105,328","105,879"
"Calloway County, Kentucky","37,145","37,489","37,685"
"Fillmore County, Minnesota","21,234","21,303","21,414"
"McNairy County, Tennessee","25,858","25,854","25,988"
"Marion County, Alabama","29,166","29,006","29,156"
"Angelina County, Texas","86,376","86,654","87,101"
"Cumberland County, Virginia","9,666","9,696","9,746"
"Nelson County, Kentucky","46,784","47,149","47,392"
"Morrison County, Minnesota","33,995","34,071","34,246"
"Caledonia County, Vermont","30,183","30,423","30,579"
"Northeastern Connecticut Planning Region, Connecticut","95,274","95,708","96,196"
"Custer County, Montana","11,863","11,971","12,032"
"Galveston County, Texas","351,559","355,309","357,117"
"Jasper County, Indiana","32,892","33,113","33,281"
"Green County, Kentucky","11,130","11,308","11,365"
"Tulsa County, Oklahoma","670,653","673,961","677,358"
"Rankin County, Mississippi","157,149","158,183","158,979"
"Hamilton County, Nebraska","9,404","9,382","9,429"
"Iron County, Wisconsin","6,146","6,193","6,224"
"Nemaha County, Nebraska","7,085","7,000","7,035"
"Cleveland County, Oklahoma","296,207","298,099","299,587"
"Washoe County, Nevada","487,674","494,281","496,745"
"Grady County, Georgia","26,222","25,879","26,008"
"Adair County, Oklahoma","19,451","19,479","19,576"
"Dallas County, Texas","2,609,966","2,587,954","2,600,840"
"Giles County, Tennessee","30,340","30,403","30,554"
"Comanche County, Oklahoma","121,125","122,438","123,046"
"Carroll County, Kentucky","10,836","10,884","10,938"
"Rusk County, Wisconsin","14,179","14,116","14,186"
"Holt County, Missouri","4,184","4,241","4,262"
"Ozaukee County, Wisconsin","91,613","92,551","93,009"
"Hillsborough County, New Hampshire","422,883","424,496","426,594"
"Greene County, Ohio","168,119","167,628","168,456"
"Rusk County, Texas","52,257","53,071","53,333"
"Sebastian County, Arkansas","127,800","128,425","129,059"
